id	category	requirement	source	status	implementation_evidence	verification_evidence	owner	closure_target	production_blocker
A	scoring_domain	measurement_integrity_and_carbon	v0.6-domain-a	implemented	docs/c3eco_measurement_workbook.md;docs/c3eco_certification_assessment.md;Compiler_new_ws/Short_Hand/src/evidence/CertificationAssessment.cpp	scripts/check_c3eco_measurement_workbook.sh;scripts/check_c3eco_assessment.sh	certification-scoring	PR90	no
B	scoring_domain	operational_energy_and_runtime_efficiency	v0.6-domain-b	partial	Compiler_new_ws/Short_Hand/src/green_ai/GreenAITool.cpp;docs/runtime_infer_observability.md;docs/concurrent_serving_runtime.md;docs/c3eco_measurement_workbook.md	tests/green_ai/test_green_ai_tool.sh;scripts/check_concurrent_serving_runtime.sh;scripts/check_c3eco_measurement_workbook.sh	performance-and-energy	PR95	yes
C	scoring_domain	compute_memory_storage_network_efficiency	v0.6-domain-c	partial	docs/runtime_observability_exports.md;docs/telemetry_schema.md;docs/concurrent_serving_runtime.md;docs/c3eco_measurement_workbook.md	scripts/check_runtime_observability_exports.sh;scripts/check_concurrent_serving_runtime.sh;scripts/check_c3eco_measurement_workbook.sh	performance-and-energy	PR95	yes
D	scoring_domain	software_stack_and_architecture_efficiency	v0.6-domain-d	partial	docs/toolchain_platform_reproducibility.md;docs/architecture.md;docs/enterprise_packages_stdlib_ffi.md;docs/concurrent_serving_runtime.md;mlir/README.md	scripts/check_reproducible_builds.sh;scripts/check_enterprise_packages_stdlib_ffi.sh;scripts/check_concurrent_serving_runtime.sh;scripts/check_mlir_dialect.sh	compiler-architecture	PR95	yes
E	scoring_domain	data_lifecycle_efficiency	v0.6-domain-e	open	none	none	measurement-runtime	PR95	yes
F	scoring_domain	cloud_and_infrastructure_efficiency	v0.6-domain-f	partial	docs/container_kubernetes_hardening.md;deploy/k8s/production.yaml;docs/concurrent_serving_runtime.md;docs/c3eco_measurement_workbook.md	scripts/check_kubernetes_ephemeral_cluster.sh;scripts/check_concurrent_serving_runtime.sh;scripts/check_c3eco_measurement_workbook.sh	platform-runtime	PR95	yes
G	scoring_domain	ai_ml_and_genai_efficiency	v0.6-domain-g	implemented	docs/c3eco_language_contract.md;docs/c3eco_certification_assessment.md;Compiler_new_ws/Short_Hand/src/evidence/CertificationAssessment.cpp	scripts/check_c3eco_language_blocks.sh;scripts/check_c3eco_assessment.sh	certification-scoring	PR90	no
H	scoring_domain	hardware_longevity_and_device_impact	v0.6-domain-h	partial	docs/production_backend_hardware_qualification.md;scripts/check_production_backend_hardware_qualification.sh	tests/integration/test_production_backend_hardware_qualification.sh	performance-and-energy	PR95	yes
I	scoring_domain	lifecycle_updates_and_maintainability	v0.6-domain-i	implemented	docs/c3eco_auditor_bundle.md;Compiler_new_ws/Short_Hand/src/evidence/AuditorBundle.cpp	scripts/check_c3eco_auditor_bundle.sh;tests/c3eco/audit/test_auditor_bundle.py	release-governance	PR91	no
J	scoring_domain	user_admin_autonomy_and_green_defaults	v0.6-domain-j	implemented	docs/c3eco_certification_assessment.md;Compiler_new_ws/Short_Hand/src/evidence/CertificationAssessment.cpp	scripts/check_c3eco_assessment.sh	certification-scoring	PR90	no
K	scoring_domain	governance_auditability_and_improvement	v0.6-domain-k	implemented	docs/c3eco_auditor_bundle.md;Compiler_new_ws/Short_Hand/src/evidence/AuditorBundle.cpp	scripts/check_c3eco_auditor_bundle.sh;tests/c3eco/audit/test_auditor_bundle.py	release-governance	PR91	no
S9	software_class	developer_tools_and_ci_cd	v0.6-software-class-s9	partial	docs/compiler_test_strategy.md;.github/workflows/ci.yml;docs/enterprise_packages_stdlib_ffi.md;docs/concurrent_serving_runtime.md;mlir/README.md	scripts/check_compiler_test_strategy.sh;scripts/check_enterprise_packages_stdlib_ffi.sh;scripts/check_concurrent_serving_runtime.sh;scripts/check_mlir_dialect.sh	performance-and-energy	PR95	yes
S12	software_class	infrastructure_and_platform	v0.6-software-class-s12	partial	docs/container_kubernetes_hardening.md;docs/production_backend_hardware_qualification.md;docs/concurrent_serving_runtime.md	scripts/check_kubernetes_ephemeral_cluster.sh;scripts/check_concurrent_serving_runtime.sh	platform-runtime	PR95	yes
